Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
56,No,Non-Travel,Research & Development,21,4,Marketing,3,Female,3,5,Laboratory Technician,2,Married,7183,5,No,18,4,3,2,38,2,3,4,2,12,16
46,Yes,Travel_Rarely,Research & Development,4,5,Medical,2,Male,2,3,Research Director,3,Single,2312,0,No,18,3,4,2,20,4,3,29,25,12,0
32,No,Travel_Rarely,Human Resources,22,4,Life Sciences,2,Female,2,4,Research Director,4,Married,8314,5,No,18,3,1,2,21,5,1,23,21,11,0
25,Yes,Travel_Rarely,Research & Development,2,4,Human Resources,2,Female,4,5,Sales Executive,1,Married,19767,9,No,12,3,1,0,9,0,2,2,0,9,15
38,No,Travel_Rarely,Research & Development,28,1,Technical Degree,4,Male,1,4,Sales Representative,3,Married,3139,2,Yes,23,3,3,1,9,3,1,10,7,6,13
56,Yes,Travel_Rarely,Research & Development,18,2,Technical Degree,3,Male,2,4,Research Scientist,2,Single,15688,3,No,19,3,1,0,28,5,2,3,3,2,10
36,No,Travel_Rarely,Sales,2,4,Marketing,1,Male,2,5,Research Scientist,4,Married,19088,5,No,21,3,2,3,15,2,1,25,23,2,13
40,No,Travel_Rarely,Human Resources,25,3,Marketing,1,Female,3,4,Research Scientist,4,Single,7924,7,No,17,3,1,1,0,5,4,26,22,2,7
28,Yes,Travel_Rarely,Research & Development,15,4,Human Resources,1,Female,3,1,Healthcare Representative,1,Single,1362,8,Yes,22,3,1,1,16,2,4,26,26,11,1
28,No,Travel_Frequently,Research & Development,26,3,Technical Degree,1,Female,4,1,Sales Representative,4,Divorced,19988,5,No,15,3,4,1,29,5,3,5,3,3,9
41,No,Travel_Rarely,Research & Development,19,1,Medical,4,Male,4,1,Manufacturing Director,4,Single,14481,6,No,17,3,4,1,25,3,4,14,11,5,4
53,No,Travel_Rarely,Research & Development,15,3,Technical Degree,1,Female,2,2,Manufacturing Director,4,Married,4738,4,No,18,3,1,2,18,3,3,29,29,14,14
57,No,Travel_Rarely,Research & Development,26,1,Technical Degree,4,Male,1,4,Human Resources,4,Single,3469,8,Yes,19,3,3,3,20,2,2,36,33,4,0
41,No,Travel_Rarely,Research & Development,20,1,Technical Degree,3,Male,1,2,Human Resources,2,Divorced,17106,3,No,12,4,4,1,16,5,4,36,35,7,1
20,Yes,Travel_Rarely,Sales,10,1,Marketing,2,Male,4,3,Sales Representative,3,Single,17940,9,Yes,16,3,1,1,39,3,2,36,35,13,16
39,Yes,Travel_Rarely,Sales,28,3,Marketing,1,Female,3,5,Manufacturing Director,2,Married,10017,5,Yes,19,3,4,2,20,1,1,34,34,13,14
19,No,Travel_Rarely,Sales,24,3,Human Resources,2,Female,2,3,Research Director,2,Married,3808,4,No,23,3,1,0,39,5,2,22,22,11,17
41,Yes,Travel_Rarely,Research & Development,20,1,Technical Degree,3,Male,2,2,Laboratory Technician,1,Divorced,17370,0,Yes,16,3,4,0,18,3,1,5,3,12,7
47,No,Travel_Frequently,Sales,11,1,Marketing,3,Female,1,1,Laboratory Technician,4,Divorced,15870,4,Yes,12,3,4,0,6,0,2,3,0,4,13
55,Yes,Travel_Rarely,Research & Development,26,2,Human Resources,1,Male,4,4,Sales Representative,2,Single,13713,4,Yes,11,3,2,3,16,0,2,17,13,10,7
19,No,Travel_Rarely,Sales,10,1,Technical Degree,3,Male,1,4,Human Resources,4,Divorced,8561,8,No,22,3,1,0,0,1,4,8,7,11,7
38,No,Travel_Rarely,Research & Development,29,5,Medical,2,Male,1,1,Manufacturing Director,2,Married,3719,0,No,13,3,1,1,36,3,2,28,27,4,12
50,No,Travel_Rarely,Research & Development,23,2,Marketing,1,Female,4,4,Manufacturing Director,2,Divorced,12700,4,No,21,4,1,2,5,0,4,12,11,13,4
29,No,Travel_Rarely,Human Resources,5,2,Life Sciences,4,Male,3,5,Sales Executive,1,Divorced,4741,6,No,15,4,1,2,25,5,4,16,13,9,9
39,No,Travel_Rarely,Research & Development,9,2,Human Resources,1,Male,2,5,Sales Executive,3,Married,10766,5,Yes,17,3,4,0,1,4,3,31,27,1,6
42,No,Travel_Rarely,Research & Development,20,5,Marketing,2,Female,3,5,Laboratory Technician,3,Married,4998,5,No,20,3,2,2,31,3,3,21,21,11,8
44,No,Travel_Rarely,Research & Development,19,2,Medical,1,Female,4,3,Sales Representative,2,Married,19787,6,No,20,3,2,1,4,1,1,3,2,10,13
59,No,Travel_Rarely,Research & Development,13,2,Medical,1,Female,4,1,Human Resources,1,Married,17077,5,Yes,13,3,3,0,36,3,2,4,2,10,5
45,No,Travel_Frequently,Research & Development,18,3,Marketing,2,Male,2,5,Manufacturing Director,4,Single,1294,4,No,19,3,1,1,30,2,1,36,36,4,9
33,No,Travel_Rarely,Research & Development,17,3,Other,1,Female,3,2,Research Scientist,4,Single,11177,9,No,20,3,3,3,11,2,2,12,12,14,0
